n_nodes,turning_radius,instance_idx,aa_cost,glkh_cost,aa_time,glkh_time,relative_error,cost_ratio,seed,success
10,0.05,0,2.4940165093619378,2.2788429576586666,0.010351419448852539,1.0436773300170898,0.09442228170226577,1.0944222817022657,1,True
10,0.05,1,3.246530828673919,2.8259618765501733,0.010660171508789062,1.060140609741211,0.14882329291616647,1.1488232929161664,2,True
10,0.05,2,3.471303144694422,2.90065702871834,0.014012575149536133,0.9827539920806885,0.19672995129252593,1.196729951292526,3,True
10,0.05,3,3.9294977688907538,3.7303999746627516,0.013227462768554688,1.296743392944336,0.053371701581678685,1.0533717015816786,4,True
10,0.05,4,3.3053641251121313,2.840240288520845,0.010313749313354492,0.9375474452972412,0.1637621431085029,1.1637621431085028,5,True
10,0.05,5,3.193135512951102,3.0064631396835324,0.010422945022583008,0.8844268321990967,0.06209035820316728,1.0620903582031673,6,True
10,0.05,6,3.3015274891998763,3.2174617467193816,0.012559652328491211,1.4580390453338623,0.026127969529462346,1.0261279695294623,7,True
10,0.05,7,3.7039264676380137,3.2152954092585793,0.012978792190551758,1.031991720199585,0.15197081331077716,1.151970813310777,8,True
10,0.05,8,3.6096179712018324,3.210510391496253,0.0052776336669921875,0.9201557636260986,0.12431281355223274,1.1243128135522327,9,True
10,0.05,9,3.427373126734836,3.324650559377601,0.0032608509063720703,0.8990199565887451,0.03089725236461116,1.0308972523646112,10,True
10,0.05,10,3.5972287019822615,3.295494759201854,0.005335807800292969,1.394972324371338,0.09155952742388382,1.0915595274238838,11,True
10,0.05,11,4.250128916465511,3.583505042312822,0.003502368927001953,0.8765139579772949,0.1860256554076019,1.1860256554076019,12,True
10,0.05,12,3.8714478335142233,3.259842733836085,0.005409955978393555,1.5718269348144531,0.18761797718947612,1.1876179771894761,13,True
10,0.05,13,3.196155949960837,2.9881978203982746,0.003367185592651367,1.0429222583770752,0.06959316017935029,1.0695931601793502,14,True
10,0.05,14,3.8653667229377735,3.2210162540731577,0.003427267074584961,1.1551692485809326,0.20004570546634096,1.200045705466341,15,True
10,0.05,15,2.922125899456106,2.9167141648175634,0.0050237178802490234,1.3583638668060303,0.00185542166038097,1.001855421660381,16,True
10,0.05,16,4.011207100442657,3.4586332323897833,0.005370140075683594,1.1126973628997803,0.15976654097869347,1.1597665409786935,17,True
10,0.05,17,3.455823960865737,3.2348657299163035,0.005095481872558594,1.1390187740325928,0.06830522482154158,1.0683052248215417,18,True
10,0.05,18,3.22732064329433,2.8770979436962456,0.003239154815673828,1.0927815437316895,0.12172776403577998,1.12172776403578,19,True
10,0.05,19,3.6374024913559166,3.128945314536834,0.005197763442993164,1.121598243713379,0.1625011387884698,1.1625011387884698,20,True
10,0.05,20,3.5696428389637553,3.418717107781458,0.005367279052734375,0.8985123634338379,0.044146890902078496,1.0441468909020786,21,True
10,0.05,21,3.528377135278033,3.1270242081483506,0.003150463104248047,1.163865327835083,0.12834979853492767,1.1283497985349276,22,True
10,0.05,22,3.407360810268373,3.2433015795246063,0.0052471160888671875,0.9832010269165039,0.050584019623551024,1.050584019623551,23,True
10,0.05,23,3.2912074434620275,2.969813205483201,0.005186557769775391,1.0112786293029785,0.10822035452783113,1.108220354527831,24,True
10,0.05,24,2.8894904099369847,2.7324128189330406,0.00328826904296875,1.1003565788269043,0.057486771367615014,1.057486771367615,25,True
10,0.05,25,3.5693551354692152,3.119401971513942,0.005577802658081055,1.0418598651885986,0.14424340564768479,1.1442434056476847,26,True
10,0.05,26,3.7612613813080165,3.2149167927404543,0.004082202911376953,1.1540982723236084,0.1699405066411837,1.1699405066411837,27,True
10,0.05,27,3.7222124962767156,3.3689427618465944,0.00555419921875,1.2393484115600586,0.10486071132787249,1.1048607113278726,28,True
10,0.05,28,3.117077013367696,2.8452512529222935,0.0034706592559814453,1.0758752822875977,0.09553664554798677,1.0955366455479867,29,True
10,0.05,29,3.477788362833775,2.9570229968406183,0.0030117034912109375,1.0786588191986084,0.17611136827463283,1.176111368274633,30,True
10,0.05,30,3.699793558880735,3.551251022846631,0.005264997482299805,1.317295789718628,0.041828227595985215,1.0418282275959851,31,True
10,0.05,31,3.633198737933962,3.179781050377912,0.004846334457397461,1.0649359226226807,0.14259399637033573,1.1425939963703358,32,True
10,0.05,32,3.3641953446941932,3.1098321699020155,0.0032835006713867188,1.0648212432861328,0.08179321612722021,1.0817932161272201,33,True
10,0.05,33,3.3193002853552795,2.893489484186719,0.0032269954681396484,1.058948278427124,0.14716168954325556,1.1471616895432555,34,True
10,0.05,34,3.13782389106026,2.9006060930482587,0.0032525062561035156,1.057091236114502,0.08178214842081781,1.0817821484208179,35,True
10,0.05,35,3.6368117107961804,3.2249246069700677,0.002985239028930664,1.2872130870819092,0.12771991721477652,1.1277199172147765,36,True
10,0.05,36,3.2006326852179234,2.86728208178176,0.006180524826049805,1.2495102882385254,0.11626013553190967,1.1162601355319097,37,True
